"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","連用タ接続","仮定形","命令ｅ","仮定縮約１","未然特殊","体言接続特殊","体言接続特殊２","命令ｙｏ","命令ｒｏ","文語基本形","未然レル接続","命令ｉ","体言接続","未然ヌ接続","現代基本形"
"自立","*","*","五段・サ行","つれだす","ツレダス,ツレダサ,ツレダソ,ツレダシ,ツレダセ,ツレダセ,ツレダシャ","つれだす","つれださ","つれだそ","つれだし","","つれだせ","つれだせ","つれだしゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","みとおす","ミトオス,ミトオサ,ミトオソ,ミトオシ,ミトオセ,ミトオセ,ミトオシャ","みとおす","みとおさ","みとおそ","みとおし","","みとおせ","みとおせ","みとおしゃ","","","","","","","","","","",""
"自立","*","*","一段","もらえる","モラエル,モラエ,モラエヨ,モラエ,モラエレ,モラエヨ,モラエロ,モラエリャ,モラエン","もらえる","もらえ","もらえよ","もらえ","","もらえれ","","もらえりゃ","","もらえん","","もらえよ","もらえろ","","","","","",""
"非自立","*","*","一段","もらえる","モラエル,モラエ,モラエヨ,モラエ,モラエレ,モラエヨ,モラエロ,モラエリャ,モラエン","もらえる","もらえ","もらえよ","もらえ","","もらえれ","","もらえりゃ","","もらえん","","もらえよ","もらえろ","","","","","",""
"自立","*","*","五段・カ行イ音便","ふらつく","フラツク,フラツカ,フラツコ,フラツキ,フラツイ,フラツケ,フラツケ,フラツキャ","ふらつく","ふらつか","ふらつこ","ふらつき","ふらつい","ふらつけ","ふらつけ","ふらつきゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","断わる","コトワル,コトワラ,コトワン,コトワロ,コトワリ,コトワッ,コトワレ,コトワレ,コトワリャ,コトワン,コトワ","断わる","断わら","断わろ","断わり","断わっ","断われ","断われ","断わりゃ","断わん","断わん","断わ","","","","","","","",""
"自立","*","*","五段・ワ行促音便","入れ違う","イレチガウ,イレチガワ,イレチガオ,イレチガイ,イレチガッ,イレチガエ,イレチガエ","入れ違う","入れ違わ","入れ違お","入れ違い","入れ違っ","入れ違え","入れ違え","","","","","","","","","","","",""
"自立","*","*","五段・サ行","おりかえす","オリカエス,オリカエサ,オリカエソ,オリカエシ,オリカエセ,オリカエセ,オリカエシャ","おりかえす","おりかえさ","おりかえそ","おりかえし","","おりかえせ","おりかえせ","おりかえしゃ","","","","","","","","","","",""
"自立","*","*","一段","当て嵌める","アテハメル,アテハメ,アテハメヨ,アテハメ,アテハメレ,アテハメヨ,アテハメロ,アテハメリャ,アテハメン","当て嵌める","当て嵌め","当て嵌めよ","当て嵌め","","当て嵌めれ","","当て嵌めりゃ","","当て嵌めん","","当て嵌めよ","当て嵌めろ","","","","","",""
"自立","*","*","五段・カ行促音便ユク","おちゆく","オチユク,オチユカ,オチユコ,オチユキ,オチユケ,オチユケ,オチユキャ","おちゆく","おちゆか","おちゆこ","おちゆき","","おちゆけ","おちゆけ","おちゆきゃ","","","","","","","","","","",""
"自立","*","*","一段","つくりかえる","ツクリカエル,ツクリカエ,ツクリカエヨ,ツクリカエ,ツクリカエレ,ツクリカエヨ,ツクリカエロ,ツクリカエリャ,ツクリカエン","つくりかえる","つくりかえ","つくりかえよ","つくりかえ","","つくりかえれ","","つくりかえりゃ","","つくりかえん","","つくりかえよ","つくりかえろ","","","","","",""
"自立","*","*","五段・マ行","休む","ヤスム,ヤスマ,ヤスモ,ヤスミ,ヤスン,ヤスメ,ヤスメ,ヤスミャ","休む","休ま","休も","休み","休ん","休め","休め","休みゃ","","","","","","","","","","",""
"自立","*","*","一段","落ちつける","オチツケル,オチツケ,オチツケヨ,オチツケ,オチツケレ,オチツケヨ,オチツケロ,オチツケリャ,オチツケン","落ちつける","落ちつけ","落ちつけよ","落ちつけ","","落ちつけれ","","落ちつけりゃ","","落ちつけん","","落ちつけよ","落ちつけろ","","","","","",""
"自立","*","*","五段・サ行","つきのめす","ツキノメス,ツキノメサ,ツキノメソ,ツキノメシ,ツキノメセ,ツキノメセ,ツキノメシャ","つきのめす","つきのめさ","つきのめそ","つきのめし","","つきのめせ","つきのめせ","つきのめしゃ","","","","","","","","","","",""
"自立","*","*","一段","古ぼける","フルボケル,フルボケ,フルボケヨ,フルボケ,フルボケレ,フルボケヨ,フルボケロ,フルボケリャ,フルボケン","古ぼける","古ぼけ","古ぼけよ","古ぼけ","","古ぼけれ","","古ぼけりゃ","","古ぼけん","","古ぼけよ","古ぼけろ","","","","","",""
"自立","*","*","一段","矯める","タメル,タメ,タメヨ,タメ,タメレ,タメヨ,タメロ,タメリャ,タメン","矯める","矯め","矯めよ","矯め","","矯めれ","","矯めりゃ","","矯めん","","矯めよ","矯めろ","","","","","",""
"自立","*","*","五段・ラ行","折り重なる","オリカサナル,オリカサナラ,オリカサナン,オリカサナロ,オリカサナリ,オリカサナッ,オリカサナレ,オリカサナレ,オリカサナリャ,オリカサナン,オリカサナ","折り重なる","折り重なら","折り重なろ","折り重なり","折り重なっ","折り重なれ","折り重なれ","折り重なりゃ","折り重なん","折り重なん","折り重な","","","","","","","",""
"自立","*","*","五段・ラ行","入びたる","イリビタル,イリビタラ,イリビタン,イリビタロ,イリビタリ,イリビタッ,イリビタレ,イリビタレ,イリビタリャ,イリビタン,イリビタ","入びたる","入びたら","入びたろ","入びたり","入びたっ","入びたれ","入びたれ","入びたりゃ","入びたん","入びたん","入びた","","","","","","","",""
"自立","*","*","一段","たてこもれる","タテコモレル,タテコモレ,タテコモレヨ,タテコモレ,タテコモレレ,タテコモレヨ,タテコモレロ,タテコモレリャ,タテコモレン","たてこもれる","たてこもれ","たてこもれよ","たてこもれ","","たてこもれれ","","たてこもれりゃ","","たてこもれん","","たてこもれよ","たてこもれろ","","","","","",""
"自立","*","*","サ変・－ズル","じょうずる","ジョウズル,ジョウズ,ジョウゼ,ジョウゼヨ,ジョウズレ,ジョウゼヨ,ジョウズリャ","じょうずる","じょうぜ","じょうぜよ","","","じょうずれ","","じょうずりゃ","","","","じょうぜよ","","じょうず","","","","",""
"自立","*","*","一段","あきれはてる","アキレハテル,アキレハテ,アキレハテヨ,アキレハテ,アキレハテレ,アキレハテヨ,アキレハテロ,アキレハテリャ,アキレハテン","あきれはてる","あきれはて","あきれはてよ","あきれはて","","あきれはてれ","","あきれはてりゃ","","あきれはてん","","あきれはてよ","あきれはてろ","","","","","",""
"自立","*","*","五段・サ行","かりだす","カリダス,カリダサ,カリダソ,カリダシ,カリダセ,カリダセ,カリダシャ","かりだす","かりださ","かりだそ","かりだし","","かりだせ","かりだせ","かりだしゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","はみだす","ハミダス,ハミダサ,ハミダソ,ハミダシ,ハミダセ,ハミダセ,ハミダシャ","はみだす","はみださ","はみだそ","はみだし","","はみだせ","はみだせ","はみだしゃ","","","","","","","","","","",""
